Batter,All Rounders,Bowlers
Shreyas Iyer(154),Marcus Stoinis(162),Arshdeep Singh(171)
Nehal Wadhera(155),Glenn Maxwell(163),Yuzvendra Chahal(172)
Vishnu Vinod(156),Harpreet Brar(164),V Vijaykumar(173)
Josh Inglis(157),Marco Jansen(165),Yash Thakur(174)
Harnoor Pannu(158),A Omarzai(166),Lockie Ferguson(175)
Pyla Avinash(159),Priyansh Arya(167),Kuldeep Sen(176)
P Singh(160),Aaron Hardie(168),Xavier Bartlet(177)
Shashank Singh(161),Musheer Khan(169),Pravin Dubey(178)
,Suryansh Shegde(170),
